Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)",gdp
Lao PDR,0.6963662803173065,0.6624342203140259,0.7473128736019135,0.8192596584558487,0.8039032369852066,0.8423162400722504,0.812103196978569,0.8053988218307495,0.8221693187952042,0.5777123272418976,0.5373516380786896,0.638310968875885,2.52835100103448
Latvia,0.42335623502731323,0.3602333664894104,0.5180899202823639,0.6543281972408295,0.6204047501087189,0.705239862203598,0.5930224061012268,0.5724873244762421,0.6238410770893097,0.6455003023147583,0.6006531417369843,0.7128061056137085,4.482095399401075
Lebanon,0.8770040720701218,0.8169605433940887,0.9671269096434116,0.9229224920272827,0.8865768387913704,0.9774758163839579,0.8367617577314377,0.7757094949483871,0.9283986687660217,0.750270202755928,0.6956129670143127,0.8323084264993668,-10.519389416220562
Liberia,0.8758868873119354,0.8579336553812027,0.903066523373127,0.9022074863314629,0.8888585940003395,0.9224165454506874,0.9062152877449989,0.8914282619953156,0.9286015406250954,0.9320845976471901,0.9314063265919685,0.9331114366650581,4.000009997591604
Lithuania,0.4249398112297058,0.36141616106033325,0.5208632946014404,0.6046673357486725,0.566152423620224,0.6628264784812927,0.5786502361297607,0.5448066592216492,0.6297555267810822,0.7198859751224518,0.7138191163539886,0.7290472090244293,5.003500765879011
Malawi,0.969764094799757,0.9572040252387524,0.988606003113091,0.9799528885632753,0.9700777046382427,0.9947670842520893,0.9591058567166328,0.9433326050639153,0.9827679991722107,0.9737076740711927,0.9627215452492237,0.9901884440332651,2.7514164076295486
Malaysia,0.7100676596164703,0.6552219986915588,0.7924413681030273,0.8120715320110321,0.7741417437791824,0.8690389543771744,0.7990957796573639,0.7451367080211639,0.8801378905773163,0.6125885546207428,0.5516191124916077,0.7041596472263336,3.132589660901246
Mali,0.9011032655835152,0.8838704973459244,0.9270044639706612,0.9449438825249672,0.9422936141490936,0.9489272907376289,0.937282532453537,0.928888700902462,0.9498986303806305,0.8653418868780136,0.8568132221698761,0.8781606629490852,3.0698700465575826
Malta,0.42543327808380127,0.3563894033432007,0.5294166803359985,0.6333101689815521,0.5690571367740631,0.7300783097743988,0.5471384227275848,0.5186287462711334,0.5900753438472748,0.39112383127212524,0.31762462854385376,0.5018170773983002,9.413538370969505
Mauritius,0.6990330219268799,0.6127711534500122,0.8296209424734116,0.8331859409809113,0.7881511598825455,0.9013620465993881,0.7793074548244476,0.7447971701622009,0.8315510153770447,0.7389255464076996,0.6669269800186157,0.8479209393262863,4.040219733844921
Moldova,0.7957233488559723,0.7708243578672409,0.8330964297056198,0.8856329172849655,0.8681143820285797,0.9119280129671097,0.8079705983400345,0.7745128124952316,0.8581903129816055,0.622056782245636,0.601326584815979,0.6531725823879242,13.944589600636533
Mongolia,0.7763901054859161,0.6868920624256134,0.911320649087429,0.9180364310741425,0.8914754614233971,0.9580807201564312,0.835143193602562,0.7966799288988113,0.8931318148970604,0.7108679413795471,0.6516106128692627,0.8002064824104309,1.421009096865049
Morocco,0.7806149572134018,0.7310391068458557,0.8548965007066727,0.8305741399526596,0.8005732595920563,0.8755256906151772,0.7239206433296204,0.6818020045757294,0.7870287299156189,0.7566046714782715,0.7070361375808716,0.8308752328157425,7.372727618473903
Mozambique,0.8545781522989273,0.8582003116607666,0.8491305410861969,0.8351656198501587,0.83296899497509,0.8384692966938019,0.8517469316720963,0.8469097912311554,0.8590218275785446,0.8370030671358109,0.8330980837345123,0.842876061797142,2.224819268082541
Namibia,0.795617863535881,0.7568296492099762,0.8538961708545685,0.8163685500621796,0.7727040797472,0.8819733113050461,0.7484659254550934,0.7084511816501617,0.808587059378624,0.7684326469898224,0.7140361964702606,0.8501619696617126,2.430639858340072
Nepal,0.772296205163002,0.7141340374946594,0.8598766326904297,0.8684232980012894,0.8397969007492065,0.9115288406610489,0.7663978636264801,0.7234094142913818,0.8311297446489334,0.6815057694911957,0.6493520736694336,0.729922741651535,4.2469401414548145
Netherlands,0.22662395238876343,0.16200226545333862,0.32386958599090576,0.2931193709373474,0.2070198655128479,0.42268580198287964,0.41421496868133545,0.38004446029663086,0.4656362533569336,0.24684685468673706,0.19772356748580933,0.3207698464393616,5.035902024489218
New Zealand,0.24155670404434204,0.16056275367736816,0.36344337463378906,0.4026448130607605,0.3239063024520874,0.5211372375488281,0.4786683917045593,0.43542367219924927,0.543746680021286,0.23774445056915283,0.17164582014083862,0.3372153043746948,4.646806749515136
Nicaragua,0.7066444158554077,0.6575366258621216,0.7807626277208328,0.8083529770374298,0.7605195492506027,0.880547821521759,0.7467987239360809,0.7027623355388641,0.8132627308368683,0.5890920162200928,0.5507832765579224,0.6469112932682037,10.344929019808575
Nigeria,0.826567530632019,0.8135020583868027,0.8462835252285004,0.8322954624891281,0.8057033568620682,0.8724233210086823,0.7948147654533386,0.786377564072609,0.8075466006994247,0.7945499271154404,0.7609720528125763,0.8452194482088089,3.6471865410069597
North Macedonia,0.6509013473987579,0.5534809827804565,0.7974596172571182,0.751995325088501,0.695343017578125,0.8372224867343903,0.6985173523426056,0.6313764750957489,0.7995234578847885,0.5791727304458618,0.4803539514541626,0.7278347313404083,3.9642641714499263
Pakistan,0.8843886479735374,0.8504009991884232,0.9357015490531921,0.8883135616779327,0.8603887110948563,0.9304731413722038,0.8114428520202637,0.7678152024745941,0.8773097470402718,0.7538043260574341,0.7240415513515472,0.7987387031316757,6.029752082694301
Panama,0.6613309979438782,0.6128148138523102,0.7341688275337219,0.7269781827926636,0.690883994102478,0.7811667621135712,0.65919628739357,0.6309089362621307,0.701664388179779,0.5571343004703522,0.4891884922981262,0.6591421067714691,15.335819064068048
