Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)"
Ghana,-2.167950739460461,-0.21895470514572657,0.770183044401398,-0.47710804364585124,-0.7882387551630221,-1.6567192243865474,-0.6175170076765522,-0.11965070823520385,-2.8162560627746327,-0.9382255690381411,-0.4449977054068137,-1.9852766951992953
Greece,0.8737232133364001,0.5159316027607113,0.8811672130694008,0.9959519942965858,0.5607414613618662,1.2802860959558973,0.02738194538352534,1.146852234846281,0.3057811159226844,0.03326978274302439,-0.1586938414910053,0.4252126565606842
Guinea,-2.6969980898064456,-1.9486798594584718,0.7268242895169736,-0.8942343133355624,0.2829136408138808,-0.04163897624795654,0.004887937580002166,0.19710292646512118,-3.6458899414683095,2.4163205102318934,2.5421077131478027,-0.22426270390261793
Honduras,-1.659396678842057,0.3544943249445105,1.0233074071812447,0.9168814785606623,1.0676309552968473,-0.9688521364856948,2.156496819187253,1.2786378006255568,0.7478685117220545,-0.3620080541307953,0.12597177417045646,-0.35677173860407674
"Hong Kong SAR, China",1.8712970301378686,0.1898692214382316,0.13151201654550837,-0.8748601634162889,-0.14759054934059357,-0.17171384875474383,-1.1703758189739997,-1.5323516465334368,2.9003955744223724,2.2767372212317456,-0.4610150668835118,2.3626930678351448
Hungary,6.0367583376838265,1.7103045509371246,1.704639500684502,0.05280193738182071,-0.6241431128598993,-0.6038051152883657,-1.0661981199014674,-0.2874796088745115,0.9376229255058774,-1.9201244450339798,-1.7771295379763306,-1.2237880440085638
Iceland,5.402595396536813,0.9937337370597938,1.2494041964182747,3.466912711520176,1.7917045867608303,3.6280576531671698,1.8720979480010786,-0.18306776356286036,4.977872238539593,5.2930817788199995,-0.0022238361946422813,7.582084787879467
India,-2.0033551729242385,-1.9734376757728536,0.7525550733278363,0.8836386306643647,0.4690659112049973,-2.3061903673583135,1.0673057736991716,-0.023016561406996594,-0.1423366937366688,-1.0275725686146808,1.2267108927012584,0.6039939147193802
Indonesia,-2.207361655900686,-0.38614167488009987,0.5551878638739367,0.13529037724645843,-0.5650694355445991,0.3911474672884747,-1.3337075858564242,0.4279003715110079,-1.0242810820615165,-0.6645443938305724,1.2192566691661355,-0.48577710640911276
Iraq,-2.346279466485691,-0.056352924869716325,-0.5381941907392331,-0.7416912843262087,0.455513065506425,-0.015386772441410734,0.7731273544699766,0.4023270853625651,-1.9957383675856248,-1.5572326053319556,-0.13093020740178307,-0.6209375899263532
